Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
83,Château d'Yquem,Sauternes,1988,1500,1,Yes,No,259,,,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,
84,Château d'Yquem,Sauternes,1989,750,1,Yes,No,493,OWC,,Jancis Robinson - 19/20,Wine Advocate - 97/100,Wine Spectator - 97/100
85,Château d'Yquem,Sauternes,1989,750,1,Yes,No,445,OWC,,Jancis Robinson - 19/20,Wine Advocate - 97/100,Wine Spectator - 97/100
86,Château d'Yquem,Sauternes,1990,750,1,Yes,No,431,OWC,,Jancis Robinson - 20/20,Wine Advocate - 98/100,Decanter - 98/100
87,Château d'Yquem,Sauternes,1990,750,1,Yes,No,486,OWC,,Jancis Robinson - 20/20,Wine Advocate - 98/100,Decanter - 98/100
88,Château d'Yquem,Sauternes,1991,750,1,Yes,No,428,OWC,,Vinous - 91/100,Wine Advocate - 91/100,
89,Château d'Yquem,Sauternes,1991,750,1,Yes,No,435,OWC,,Vinous - 91/100,Wine Advocate - 91/100,
90,Château d'Yquem,Sauternes,1993,750,1,Yes,No,401,OWC,,Jancis Robinson - 16.5/20,,
91,Château d'Yquem,Sauternes,1993,750,1,Yes,No,439,OWC,,Jancis Robinson - 16.5/20,,
92,Château d'Yquem,Sauternes,1994,750,1,Yes,No,420,OWC,,Jancis Robinson - 16/20,,
93,Château d'Yquem,Sauternes,1996,750,1,Yes,No,133,OWC - 6 bottle,,Jancis Robinson - 18.5/20,Robert Parker - 95/100,
94,Château d'Yquem,Sauternes,1996,750,1,Yes,No,134,OWC - 6 bottle,,Jancis Robinson - 18.5/20,Robert Parker - 95/100,
95,Château d'Yquem,Sauternes,1996,750,1,Yes,No,138,OWC - 6 bottle,,Jancis Robinson - 18.5/20,Robert Parker - 95/100,
96,Château d'Yquem,Sauternes,1996,750,1,Yes,No,135,OWC - 6 bottle,,Jancis Robinson - 18.5/20,Robert Parker - 95/100,
97,Château d'Yquem,Sauternes,1996,750,1,Yes,No,137,OWC - 6 bottle,,Jancis Robinson - 18.5/20,Robert Parker - 95/100,
98,Château d'Yquem,Sauternes,1996,750,1,Yes,No,136,OWC - 6 bottle,,Jancis Robinson - 18.5/20,Robert Parker - 95/100,
