Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Château d'Yquem Sauternes 1998,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/105.png,104,750,1998,No,169,Jancis Robinson - 18/20,Wine Advocate - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/104
Château d'Yquem Sauternes 1998,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/106.png,105,750,1998,No,170,Jancis Robinson - 18/20,Wine Advocate - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/105
Château d'Yquem Sauternes 1998,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/107.png,106,750,1998,No,168,Jancis Robinson - 18/20,Wine Advocate - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/106
Château d'Yquem Sauternes 1998,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/108.png,107,750,1998,No,165,Jancis Robinson - 18/20,Wine Advocate - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/107
Château d'Yquem Sauternes 1998,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/109.png,108,750,1998,No,167,Jancis Robinson - 18/20,Wine Advocate - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/108
Château d'Yquem Sauternes 1998,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/110.png,109,750,1998,No,166,Jancis Robinson - 18/20,Wine Advocate - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/109
Château d'Yquem Sauternes 1999,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/111.png,110,375,1999,No,88,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/110
Château d'Yquem Sauternes 1999,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/112.png,111,375,1999,No,79,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/111
Château d'Yquem Sauternes 1999,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/113.png,112,375,1999,No,82,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/112
Château d'Yquem Sauternes 1999,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/114.png,113,375,1999,No,81,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/113
